Institution,Tier
Institution Name,Tier
Indian Institute of Technology Palakkad,Tier1
Indian Institute of Technology Patna (IIT Patna or IITP),Tier1
Indian Institute of Technology Punjab,Tier1
Indian Institute of Technology Rajasthan,Tier1
Indian Institute of Technology Roorkee (IIT Roorkee or IITR),Tier1
Indian Institute of Technology Tirupati,Tier1
Indian Institute of Technology Varanasi,Tier1
"Indian Law Institute (ILI), Delhi",Tier1
"Indian Statistical Institute (ISI), Kolkata",Tier1
"Indraprastha Institute of Information Technology, Delhi",Tier1
"Institute of Chemical Technology (ICT), Mumbai",Tier1
"Institute of Liver and Biliary Sciences (ILBS), New Delhi",Tier1
"International Institute of Information Technology, Bangalore",Tier1
"Jadavpur University, Kolkata",Tier1
"Jain University, Bangalore",Tier1
"Jain Vishva Bharati Institute (JVBI), Ladnun",Tier1
"Jamia Hamdard, New Delhi",Tier1
"Jamia Millia Islamia (JMI), New Delhi",Tier1
"Janardan Rai nagar Rajasthan Vidyapeeth, Udaipur",Tier1
Jawaharlal Institute of Postgraduate Medical Education and Research (JIPMER),Tier1
"Jawaharlal Nehru Centre for Advanced Scientific Research, Bangalore (JNCASR)",Tier1
Jawaharlal Nehru Technological University Hyderabad (JNTU Hyderabad),Tier1
Jawaharlal Nehru University (JNU),Tier1
Jaypee University of Engineering and Technology,Tier1
"Jiwaji University, Gwalior (JU)",Tier1
"Kakatiya University, Warangal",Tier1
"Kalasalingam University, Krishnankoil",Tier1
Karnataka State Law University (KSLU),Tier1
Karnatak University,Tier1
"Krishna Institute of Medical Sciences, Satara",Tier1
Kurukshetra University,Tier1
Lakshmibai National Institute of Physical Education (LNIPE),Tier1
Madurai Kamaraj University (MKU),Tier1
"Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya, Wardha",Tier1
Mahatma Gandhi Chitrakoot Gramodaya Vishwavidyalaya (MGCGV),Tier1
"Mahatma Gandhi University, Kerala",Tier1
Manipur University,Tier1
"Manipal University, Manipal",Tier1
Maulana Azad National Institute of Technology Bhopal (M.P) India (MANIT),Tier1
Maulana Azad National Urdu University,Tier1
Mizoram University,Tier1
"Narsee Monjee Institute of Management Studies, Mumbai",Tier1
"National Academy of Legal Studies and Research University, Hyderabad",Tier1
"National Institute of Technology, Rourkela (NITR)",Tier1
"National Law School of India University, Bangalore",Tier1
"National Law University, Cuttack",Tier1
"National Law University, Delhi",Tier1
Nirma University (NU),Tier1
"NITTE University, Mangalore",Tier1
Noorul Islam Centre for Higher Education,Tier1
North Eastern Hill University (NEHU),Tier1
"North Maharashtra University, Jalgaon",Tier1
"O.P Jindal Global University, Sonipat",Tier1
Osmania University,Tier1
"Padmashree Dt. DY Patil Vidyapeeth, Mumbai",Tier1
"Pandit Deendayal Petroleum University, Gandhinagar",Tier1
Pandit Ravishankar Shukla University,Tier1
Periyar University,Tier1
Pondicherry University,Tier1
Pravara Institute of Medical Sciences (Deemed to be University),Tier1
"Presidency University, Kolkata",Tier1
Rabindra Bharati University,Tier1
"Rajiv Gandhi Institute of Petroleum Technology, Jais Amethi (RGIPT)",Tier1
"Rajiv Gandhi National University of Law, Punjab (RGNUL)",Tier1
"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal (RGPV)",Tier1
Rashtrasant Takadoji Maharaj Nagpur University (RTMNU),Tier1
"Rashtriya Sanskrit Vidyapeeth, Tirupati",Tier1
Ravenshaw University,Tier1
Sambalpur University,Tier1
Sant Gadge Baba Amravati University,Tier1
Sardar Patel University (SPU),Tier1
"Sathyabama University, Chennai",Tier1
Saveetha Institute of Medical and Technical Sciences (SIST),Tier1
Savitribai Phule Pune University (SPPU),Tier1
"Shanmugha Arts, Science, Technology & Research Academy (SASTRA)",Tier1
Shiv Nadar University (SNU),Tier1
Shivaji University,Tier1
"Shreemati Nathibai Damodar Thackersey Women's University, Mumbai (SNDT Women's University)",Tier1
Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapeetha,Tier1
Siksha 'O' Anusandhan (SOA),Tier1
S.P. Jain School of Global Management,Tier1
Sree Chitra Tirunal Institute for Medical Sciences and Technology (SCTIMST),Tier1
"Sri Balaji Vidyapeeth, Pillaiyarkuppam",Tier1
Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya (SCSVMV),Tier1
"Sri Padmavati Mahila Visvavidyalayam SPMVV, Tirupati",Tier1
Sri Ramachandra University,Tier1
Sri Siddhartha Academy of Higher Education (SSAHE),Tier1
Sumandeep Vidyapeeth (Sumandeep Vidyapeeth University),Tier1
Suresh Gyan Vihar University (SGVU),Tier1
Swami Vivekananda Yoga Anusandhana Samsthana,Tier1
Swami Vivekanand Subharti University (SVSU),Tier1
Symbiosis International University,Tier1
Tata Institute of Fundamental Research (TIFR),Tier1
Tata Institute of Social Sciences (TISS),Tier1
Tezpur University,Tier1
University of Burdwan,Tier1
University of Calcutta,Tier1
University of Calicut,Tier1
University of Delhi (DU),Tier1
University of Hyderabad (UoH),Tier1
University of Jammu,Tier1
University of Kalyani (KU),Tier1
University of Kashmir,Tier1
University of Kerala,Tier1
University of Madras,Tier1
University of Mumbai,Tier1
University of Mysore,Tier1
University of North Bengal (NBU),Tier1
University of Rajasthan,Tier1
Utkal University,Tier1
